name,quantity,cost,price,volume,lead_time
Fruit 1,50,10,20,1,4
Fruit 1,50,10,20,1,4
Fruit 1,50,10,20,1,4
Fruit 1,50,10,20,1,4
Fruit 1,50,10,25,1,4
Fruit 1,50,10,25,1,4
Fruit 1,50,10,25,1,4
Fruit 1,50,15,25,1,4
Fruit 1,50,15,25,1,4
Fruit 1,50,15,30,1,4
Fruit 1,50,15,30,1,4
Fruit 1,60,15,30,1,4
Fruit 13,60,15,30,1,4
Fruit 14,60,15,30,1,4
Fruit 15,60,15,30,1,4
Fruit 15,60,25,30,1,4
Fruit 15,60,25,30,1,4
Fruit 15,60,25,35,1,4
Fruit 15,60,25,35,1,4
Fruit 15,40,25,35,1,4
Fruit 15,40,25,35,1,4
Fruit 22,40,30,35,1,4
Fruit 23,40,30,35,1,4
Fruit 24,40,30,35,1,4
Fruit 25,40,30,35,1,4
Vegetable 1,30,10,20,1,3
Vegetable 2,30,10,20,1,3
Vegetable 3,30,10,25,1,3
Vegetable 4,30,10,25,1,3
Vegetable 4,30,10,25,1,3
Vegetable 4,50,15,25,1,3
Vegetable 4,50,15,25,1,3
Vegetable 4,50,15,25,1,3
Vegetable 4,60,15,30,1,3
Vegetable 4,60,15,30,1,3
Vegetable 4,60,15,30,1,3
Vegetable 4,60,15,30,1,3
Vegetable 13,60,25,30,1,3
Vegetable 14,60,25,30,1,3
Vegetable 15,60,25,30,1,3
Vegetable 16,70,20,30,1,3
Phone Xiaomi,75,2250,5000,2,10
Phone Samsung,75,2400,6000,2,10
Phone Apple,75,3000,9000,2,15
Phone Apple Plus,75,3300,1200,2,15
Laptop HP,20,5000,20000,2,30
Laptop Dell,20,5200,25000,2,30
Laptop Samsung,20,4500,18000,2,30
Laptop Apple,15,6000,30000,2,40
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Pepsi can,30,100,50,1,3
Seven up can,30,110,50,1,3
Seven up can,30,110,50,1,3
Seven up can,30,110,50,1,3
Seven up can,30,110,50,1,3
Seven up can,30,110,50,1,3
Seven up can,30,110,50,1,3
Maaza 200ml,25,150,60,1,10
Maaza 200ml,25,150,60,1,10
Maaza 200ml,25,150,60,1,10
Maaza 200ml,25,150,60,1,10
Blue Pen,100,150,10,1,21
Blue Pen,100,150,10,1,21
Blue Pen,100,150,10,1,21
Blue Pen,100,150,10,1,21
Blue Pen,100,150,10,1,21
Black Pen,100,150,10,1,21
Black Pen,100,150,10,1,21
Black Pen,100,150,10,1,21
Black Pen,100,150,10,1,21
Notebook ,50,200,20,1,21
Notebook ,50,200,20,1,21
Notebook ,50,200,20,1,21
Notebook ,50,200,20,1,21
Notebook ,50,200,20,1,21
Notebook ,50,200,20,1,21
Notebook ,50,200,20,1,21
